method,workflow,dataset,budget_iter,budget,total_candidates,total_emissions,time,auc,recall,memory
pesm,top1,ABTBUY,10,10850.0,2200.0,2200.0,0.5149507522583008,0.3902063787511754,0.6009216589861751,21.87109999999996
pesm,top1,CDDB,6,18000.0,18000.0,18000.0,4.013673782348633,0.5426679999258128,0.7033333333333334,72.51559999999995
pesm,top1,CDDB,10,30000.0,18469.0,18469.0,24.55457592010498,0.548265836491679,0.75,73.44140000000004
pesm,top1,CDDB,7,21000.0,18497.0,18497.0,23.01123833656311,0.5486748116913995,0.75,71.58590000000004
pesm,top1,CDDB,2,6000.0,6000.0,6000.0,3.8915975093841553,0.4787018830194947,0.5133333333333333,71.53910000000008
pesm,top1,CDDB,3,9000.0,9000.0,9000.0,3.9489517211914062,0.4903614413213146,0.5166666666666667,70.9883000000001
pesm,top1,CDDB,9,27000.0,18480.0,18480.0,20.80771040916443,0.5485779990260972,0.75,83.73829999999998
pesm,top1,CDDB,4,12000.0,12000.0,12000.0,3.722177505493164,0.5132286198372784,0.6,76.05470000000003
pesm,top1,CDDB,8,24000.0,18480.0,18480.0,22.67252779006958,0.5483566906553385,0.75,82.73440000000005
pesm,top1,CDDB,1,3000.0,3000.0,3000.0,3.8769729137420654,0.4493491058535995,0.5066666666666667,71.96490000000006
pesm,top1,CDDB,5,15000.0,15000.0,15000.0,3.6041555404663086,0.5306072928472504,0.6,84.043
pesm,top1,CORA,10,6289100.0,500.0,500.0,6.9403886795043945,0.0025952134464752,0.0047542573659188,27.839900000000057
pesm,top1,CORA,7,4402370.0,499.0,499.0,7.0511438846588135,0.0025825634828512,0.0047542573659188,28.082
pesm,top1,CORA,6,3773460.0,501.0,501.0,7.015027523040772,0.0025951115954049,0.0047860584185336,26.851499999999987
pesm,top1,CORA,3,1886730.0,504.0,504.0,6.935145139694214,0.002609512513478,0.0047860584185336,28.015600000000063
pesm,top1,CORA,1,628910.0,501.0,501.0,7.029040575027466,0.0025951115954049,0.0047860584185336,27.125
pesm,top1,CORA,8,5031280.0,502.0,502.0,6.987694978713989,0.0026022175449315,0.0047860584185336,26.906200000000013
pesm,top1,CORA,9,5660190.0,504.0,504.0,6.822943925857544,0.002609512513478,0.0047860584185336,26.945400000000063
pesm,top1,CORA,4,2515640.0,501.0,501.0,6.989785671234131,0.0025951115954049,0.0047860584185336,27.2618
pesm,top1,CORA,5,3144550.0,496.0,496.0,7.134179830551148,0.0025756293177167,0.0047542573659188,27.023500000000013
pesm,top1,CORA,2,1257820.0,500.0,500.0,7.009272575378418,0.0025954990846723,0.0047860584185336,28.16410000000008
pesm,top1,synthetic100K,8,683976.0,91900.0,91900.0,2461.496061563492,0.2780023768380478,0.5320537562721499,237.32809999999995
pesm,top1,synthetic100K,6,512982.0,91845.0,91845.0,2491.799320220948,0.2780580987234042,0.5318198299355533,235.582
pesm,top1,synthetic100K,1,85497.0,85497.0,85497.0,2334.8834221363068,0.2605021903660438,0.4920874416646198,191.9882
pesm,top1,synthetic100K,10,854970.0,91855.0,91855.0,2446.434263944626,0.2781263641649513,0.5323578605097254,244.2773
pesm,top1,synthetic100K,5,427485.0,91886.0,91886.0,2547.0405638217926,0.2780279441194023,0.5324748236780238,237.47660000000008
pesm,top1,synthetic100K,4,341988.0,91867.0,91867.0,2563.646041154861,0.2779508580921345,0.5319250967870217,244.10940000000005
pesm,top1,synthetic100K,7,598479.0,91893.0,91893.0,2349.427894830704,0.278150670946357,0.5320654525889797,233.3007
pesm,top1,synthetic100K,2,170994.0,91901.0,91901.0,2564.3318836688995,0.2780057559221756,0.5320069710048306,246.1758
pesm,top1,synthetic100K,9,769473.0,91855.0,91855.0,2448.6161139011383,0.2781433798254893,0.5321473268067886,238.1875
pesm,top1,synthetic100K,3,256491.0,91935.0,91935.0,2250.23312664032,0.2779481427101797,0.5319367931038516,244.28520000000003
pesm,top1,synthetic10K,9,78345.0,10970.0,10970.0,15.763471841812134,0.2972351158563234,0.5577254451464676,59.58979999999997
pesm,top1,synthetic10K,4,34820.0,10979.0,10979.0,18.350078344345093,0.298089482312889,0.5563469270534176,56.707
